# build-tree --verbose=1 --max-leaves=2900 --cluster-thresh=-1 exp/tri2a/treeacc data/lang/phones/roots.int exp/tri2a/questions.qst data/lang/topo exp/tri2a/tree 
# Started at Sat Apr  3 18:03:56 CST 2021
#
build-tree --verbose=1 --max-leaves=2900 --cluster-thresh=-1 exp/tri2a/treeacc data/lang/phones/roots.int exp/tri2a/questions.qst data/lang/topo exp/tri2a/tree 
LOG (build-tree[5.5.896~1-8a59]:main():build-tree.cc:104) Number of separate statistics is 15558
LOG (build-tree[5.5.896~1-8a59]:BuildTree():build-tree.cc:161) BuildTree: before building trees, map has 47 leaves.
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 842, low count 97
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 847, low count 72
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 849, low count 89
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 852, low count 68
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 858, low count 89
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 861, low count 63
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 865, low count 8
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 873, low count 18
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 883, low count 93
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 886, low count 67
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 891, low count 97
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 898, low count 66
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 906, low count 49
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 915, low count 64
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 931, low count 12
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 934, low count 47
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 941, low count 80
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 950, low count 49
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 954, low count 98
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 957, low count 88
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 958, low count 39
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 961, low count 73
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 967, low count 63
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 985, low count 41
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 990, low count 51
VLOG[1] (build-tree[5.5.896~1-8a59]:main():build-tree.cc:143) For pdf-id 997, low count 79
